3,IC2206,202110180929,6679.0,6679.0,6679.0,6679.0,3,3,20037.0,6679.0
3,IC2206,202110180930,6666.6,6688.8,6666.0,6675.0,32,34,213660.00000000003,6676.875000000001
3,IC2206,202110180931,6673.8,6675.4,6660.0,6660.0,33,67,220091.59999999998,6669.442424242424
3,IC2206,202110180932,6661.8,6661.8,6650.0,6651.8,20,87,133101.4,6655.07
3,IC2206,202110180933,6650.0,6655.2,6647.0,6647.2,28,115,186226.6,6650.95
3,IC2206,202110180934,6647.6,6654.6,6647.6,6654.0,11,126,73167.0,6651.545454545455
3,IC2206,202110180935,6649.6,6665.8,6649.4,6659.6,18,144,119841.20000000001,6657.844444444445
3,IC2206,202110180936,6662.2,6664.6,6648.8,6652.6,28,172,186382.20000000004,6656.507142857145
3,IC2206,202110180937,6654.4,6660.4,6650.4,6659.2,30,202,199699.00000000003,6656.633333333334
3,IC2206,202110180938,6666.0,6666.0,6645.0,6645.0,27,229,179653.2,6653.822222222223
3,IC2206,202110180939,6647.0,6652.4,6640.0,6640.0,21,250,139579.0,6646.619047619048
3,IC2206,202110180940,6640.0,6655.4,6639.8,6650.4,40,290,265889.99999999994,6647.249999999998
3,IC2206,202110180941,6655.2,6655.2,6643.4,6649.8,35,325,232663.79999999996,6647.537142857142
3,IC2206,202110180942,6645.2,6648.8,6641.0,6642.8,49,374,325595.3999999999,6644.804081632651
3,IC2206,202110180943,6639.8,6645.6,6639.2,6645.6,29,402,192609.2,6641.696551724139
3,IC2206,202110180944,6646.8,6649.0,6639.8,6640.2,28,430,186060.2,6645.007142857144
3,IC2206,202110180945,6640.2,6644.6,6632.2,6632.2,44,474,292092.00000000006,6638.454545454547
3,IC2206,202110180946,6636.2,6639.4,6614.6,6616.4,46,520,304894.2,6628.134782608696
3,IC2206,202110180947,6620.4,6628.0,6616.2,6628.0,42,562,278165.2,6622.980952380953
3,IC2206,202110180948,6621.2,6634.4,6621.2,6634.2,45,607,298314.80000000005,6629.217777777779
3,IC2206,202110180949,6627.6,6636.4,6626.0,6636.4,39,646,258650.79999999996,6632.071794871794
3,IC2206,202110180950,6634.4,6638.2,6628.2,6628.2,16,662,106120.00000000001,6632.500000000001
3,IC2206,202110180951,6629.2,6629.2,6616.2,6619.6,36,696,238440.8,6623.355555555555
3,IC2206,202110180952,6616.0,6625.8,6616.0,6622.8,27,723,178788.4,6621.792592592592
3,IC2206,202110180953,6616.6,6626.0,6612.8,6622.2,28,751,185359.80000000005,6619.992857142859
3,IC2206,202110180954,6622.0,6626.6,6612.2,6618.8,62,813,410642.20000000007,6623.261290322582
3,IC2206,202110180955,6618.8,6619.4,6604.6,6608.0,27,840,178534.8,6612.4
3,IC2206,202110180956,6607.6,6615.8,6607.6,6612.4,34,874,224815.99999999997,6612.235294117646
3,IC2206,202110180957,6612.8,6628.0,6612.8,6625.6,21,895,139045.20000000004,6621.200000000002
3,IC2206,202110180958,6625.8,6629.8,6621.6,6626.0,29,924,192158.8,6626.165517241379
3,IC2206,202110180959,6625.6,6629.6,6623.6,6629.0,26,950,172289.00000000003,6626.500000000001
3,IC2206,202110181000,6623.2,6633.0,6623.0,6631.4,28,978,185594.0,6628.357142857143
3,IC2206,202110181001,6631.6,6636.8,6630.0,6631.4,15,993,99488.59999999999,6632.573333333333
3,IC2206,202110181002,6629.2,6630.0,6625.2,6630.0,21,1013,139160.99999999994,6626.714285714283
3,IC2206,202110181003,6629.6,6631.0,6626.0,6629.0,12,1025,79540.4,6628.366666666666
3,IC2206,202110181004,6627.0,6627.0,6623.4,6627.0,27,1052,178898.40000000002,6625.866666666668
3,IC2206,202110181005,6628.0,6637.8,6628.0,6637.8,14,1066,92842.0,6631.571428571428
3,IC2206,202110181006,6634.0,6636.0,6630.8,6633.6,7,1073,46433.799999999996,6633.4
3,IC2206,202110181007,6633.6,6637.0,6633.0,6633.8,18,1091,119410.6,6633.922222222222
3,IC2206,202110181008,6632.8,6635.6,6632.4,6634.0,16,1107,106141.80000000002,6633.862500000001
3,IC2206,202110181009,6633.4,6635.2,6627.6,6630.0,22,1129,145898.8,6631.763636363636
3,IC2206,202110181010,6629.8,6629.8,6622.4,6625.0,23,1151,152385.4,6625.452173913043
3,IC2206,202110181011,6626.8,6629.0,6623.8,6626.6,17,1168,112648.8,6626.400000000001
3,IC2206,202110181012,6625.0,6625.0,6621.2,6621.2,10,1178,66229.2,6622.92
3,IC2206,202110181013,6623.0,6628.8,6621.4,6628.6,13,1191,86134.8,6625.753846153846
3,IC2206,202110181014,6628.0,6632.0,6628.0,6631.6,15,1206,99451.0,6630.066666666667
3,IC2206,202110181015,6632.6,6632.6,6629.6,6629.6,13,1219,86210.20000000001,6631.553846153847
3,IC2206,202110181016,6622.6,6626.8,6622.6,6623.6,20,1239,132509.4,6625.469999999999
3,IC2206,202110181017,6621.0,6624.6,6619.2,6624.6,15,1251,99328.6,6621.906666666667
3,IC2206,202110181018,6624.6,6624.6,6619.0,6622.8,19,1270,125805.39999999998,6621.336842105262
3,IC2206,202110181019,6618.6,6624.8,6618.6,6621.8,13,1283,86087.8,6622.138461538461
3,IC2206,202110181020,6624.2,6624.6,6619.8,6623.0,18,1301,119202.99999999999,6622.388888888888
3,IC2206,202110181021,6623.0,6625.0,6623.0,6623.4,10,1311,66240.59999999999,6624.0599999999995
3,IC2206,202110181022,6623.2,6626.6,6622.8,6626.6,6,1317,39745.2,6624.2
3,IC2206,202110181023,6623.2,6625.0,6620.6,6622.8,10,1327,66219.40000000001,6621.9400000000005
